
########################################################################
#      Date:           Wed 12 May 2021 01:43:29 PM PDT
#    Job ID:           858578.v-qsvr-1.aidevcloud
#      User:           u74824
# Resources:           neednodes=1:gpu:ppn=2,nodes=1:gpu:ppn=2,walltime=00:30:00
########################################################################

executable,device,parameters,time1,time2,time3,time4
sequential,cpu,4 2 2 1024 1024 3 3,1.353,0.237,0.227,0.235
sequential,cpu,4 4 4 1024 1024 3 3,0.693,0.733,0.696,0.690
winograd,gpu,4 2 2 1024 1024 3 3,2.018,1.516,1.558,1.542
winograd,gpu,4 4 4 1024 1024 3 3,1.648,1.614,1.646,1.632
direct,cpu,4 2 2 1024 1024 3 3,1.888,0.232,0.224,0.195
direct,cpu,4 4 4 1024 1024 3 3,0.295,0.278,0.297,0.271
direct,gpu,4 2 2 1024 1024 3 3,1.577,1.591,1.565,1.572
direct,gpu,4 4 4 1024 1024 3 3,1.670,1.662,1.664,1.663
gemm,cpu,4 2 2 1024 1024 3 3,0.307,0.241,0.224,0.252
gemm,cpu,4 4 4 1024 1024 3 3,0.318,0.273,0.319,0.309
gemm,gpu,4 2 2 1024 1024 3 3,0.567,0.566,0.570,0.571
gemm,gpu,4 4 4 1024 1024 3 3,0.699,0.698,0.717,0.702
convolution,cpu,4 2 2 1024 1024 3 3,0.403,0.274,0.287,0.292
convolution,cpu,4 4 4 1024 1024 3 3,0.407,0.399,0.412,0.422
convolution,gpu,4 2 2 1024 1024 3 3,3.640,3.636,3.637,3.650
convolution,gpu,4 4 4 1024 1024 3 3,7.519,7.523,7.495,7.481

########################################################################
# End of output for job 858578.v-qsvr-1.aidevcloud
# Date: Wed 12 May 2021 01:45:27 PM PDT
########################################################################

