
########################################################################
#      Date:           Sun 30 May 2021 04:37:25 AM PDT
#    Job ID:           881046.v-qsvr-1.aidevcloud
#      User:           u74824
# Resources:           neednodes=1:gpu:ppn=2,nodes=1:gpu:ppn=2,walltime=00:45:00
########################################################################

executable,device,parameters,time1,time2,time3,time4
im2col,cpu,8 4 4 1024 1024 3 3,0.324,0.315,0.315,0.315
im2col,cpu,16 4 4 1024 1024 3 3,0.522,0.542,0.524,0.539
im2col,cpu,24 4 4 1024 1024 3 3,0.735,0.732,0.737,0.734
im2col,cpu,32 4 4 1024 1024 3 3,0.949,0.950,0.944,0.949
im2col,cpu,40 4 4 1024 1024 3 3,1.158,1.158,1.158,1.164
im2col,cpu,48 4 4 1024 1024 3 3,1.372,1.366,1.381,1.367
im2col,cpu,56 4 4 1024 1024 3 3,1.591,1.590,1.589,1.584
im2col,cpu,64 4 4 1024 1024 3 3,1.792,1.790,1.797,1.801
im2col,cpu,72 4 4 1024 1024 3 3,2.012,2.004,2.014,2.046
im2col,cpu,80 4 4 1024 1024 3 3,2.240,2.227,2.219,2.218
matmul,cpu,8 4 4 1024 1024 3 3,0.590,0.568,0.587,0.568
matmul,cpu,16 4 4 1024 1024 3 3,0.957,0.957,0.992,0.979
matmul,cpu,24 4 4 1024 1024 3 3,1.358,1.371,1.362,1.361
matmul,cpu,32 4 4 1024 1024 3 3,1.757,1.755,1.729,1.752
matmul,cpu,40 4 4 1024 1024 3 3,2.154,2.119,2.176,2.130
matmul,cpu,48 4 4 1024 1024 3 3,2.552,2.516,2.555,2.543
matmul,cpu,56 4 4 1024 1024 3 3,2.987,2.905,2.951,2.907
matmul,cpu,64 4 4 1024 1024 3 3,3.347,3.352,3.296,3.352
matmul,cpu,72 4 4 1024 1024 3 3,3.729,3.690,3.794,3.708
matmul,cpu,80 4 4 1024 1024 3 3,4.151,4.189,4.188,4.129
direct_sequential,cpu,8 4 4 1024 1024 3 3,3.048,1.793,1.781,1.777
direct_sequential,cpu,16 4 4 1024 1024 3 3,3.512,3.531,3.511,3.525
direct_sequential,cpu,24 4 4 1024 1024 3 3,5.239,5.262,5.316,5.233
direct_sequential,cpu,32 4 4 1024 1024 3 3,6.970,6.978,7.011,7.426
direct_sequential,cpu,40 4 4 1024 1024 3 3,9.162,8.705,8.752,8.747
direct_sequential,cpu,48 4 4 1024 1024 3 3,10.439,10.459,10.435,10.460
direct_sequential,cpu,56 4 4 1024 1024 3 3,12.187,12.192,12.215,12.164
direct_sequential,cpu,64 4 4 1024 1024 3 3,13.907,13.971,13.933,13.898
direct_sequential,cpu,72 4 4 1024 1024 3 3,15.633,15.652,15.640,15.715
direct_sequential,cpu,80 4 4 1024 1024 3 3,17.350,17.377,17.331,17.492
gemm_sequential,cpu,8 4 4 1024 1024 3 3,0.694,0.710,0.706,0.684
gemm_sequential,cpu,16 4 4 1024 1024 3 3,1.301,1.283,1.285,1.311
gemm_sequential,cpu,24 4 4 1024 1024 3 3,1.941,1.920,1.900,1.934
gemm_sequential,cpu,32 4 4 1024 1024 3 3,2.518,2.489,2.496,2.506
gemm_sequential,cpu,40 4 4 1024 1024 3 3,3.125,3.150,3.129,3.150
gemm_sequential,cpu,48 4 4 1024 1024 3 3,3.695,3.742,3.819,3.731
gemm_sequential,cpu,56 4 4 1024 1024 3 3,4.351,4.340,4.354,4.360
gemm_sequential,cpu,64 4 4 1024 1024 3 3,5.032,4.961,4.950,5.024
gemm_sequential,cpu,72 4 4 1024 1024 3 3,5.579,5.515,5.643,5.559
gemm_sequential,cpu,80 4 4 1024 1024 3 3,6.176,6.246,6.145,6.187
blis_sequential,cpu,8 4 4 1024 1024 3 3,2.213,2.198,2.215,2.195
blis_sequential,cpu,16 4 4 1024 1024 3 3,4.405,4.366,4.363,4.327
blis_sequential,cpu,24 4 4 1024 1024 3 3,6.518,6.705,6.502,6.557
blis_sequential,cpu,32 4 4 1024 1024 3 3,8.647,8.636,8.737,8.723
blis_sequential,cpu,40 4 4 1024 1024 3 3,10.794,10.856,10.801,10.821
blis_sequential,cpu,48 4 4 1024 1024 3 3,12.923,12.986,12.906,13.030
blis_sequential,cpu,56 4 4 1024 1024 3 3,15.118,15.125,15.075,15.089
blis_sequential,cpu,64 4 4 1024 1024 3 3,17.330,17.367,17.238,17.271
blis_sequential,cpu,72 4 4 1024 1024 3 3,19.598,19.455,19.441,19.381
blis_sequential,cpu,80 4 4 1024 1024 3 3,21.552,21.653,21.508,21.647
direct_parallel,cpu,8 4 4 1024 1024 3 3,0.802,0.647,0.648,0.622
direct_parallel,cpu,16 4 4 1024 1024 3 3,1.072,1.073,1.070,1.062
direct_parallel,cpu,24 4 4 1024 1024 3 3,1.506,1.498,1.533,1.523
direct_parallel,cpu,32 4 4 1024 1024 3 3,1.943,1.975,1.945,1.964
direct_parallel,cpu,40 4 4 1024 1024 3 3,2.383,2.456,2.352,2.369
direct_parallel,cpu,48 4 4 1024 1024 3 3,2.791,2.797,2.827,2.800
direct_parallel,cpu,56 4 4 1024 1024 3 3,3.242,3.258,3.223,3.242
direct_parallel,cpu,64 4 4 1024 1024 3 3,3.671,3.650,3.695,3.666
direct_parallel,cpu,72 4 4 1024 1024 3 3,4.115,4.107,4.133,4.203
direct_parallel,cpu,80 4 4 1024 1024 3 3,4.533,4.545,4.521,4.544
gemm_parallel,cpu,8 4 4 1024 1024 3 3,0.538,0.548,0.553,0.550
gemm_parallel,cpu,16 4 4 1024 1024 3 3,0.834,0.822,0.852,0.912
gemm_parallel,cpu,24 4 4 1024 1024 3 3,1.222,1.176,1.250,1.185
gemm_parallel,cpu,32 4 4 1024 1024 3 3,1.510,1.516,1.465,1.507
gemm_parallel,cpu,40 4 4 1024 1024 3 3,1.823,1.922,1.924,1.875
gemm_parallel,cpu,48 4 4 1024 1024 3 3,2.135,2.171,2.205,2.226
gemm_parallel,cpu,56 4 4 1024 1024 3 3,2.597,2.561,2.556,2.556
gemm_parallel,cpu,64 4 4 1024 1024 3 3,,,,
gemm_parallel,cpu,72 4 4 1024 1024 3 3,,,,
gemm_parallel,cpu,80 4 4 1024 1024 3 3,,,,
blis_parallel,cpu,8 4 4 1024 1024 3 3,0.622,0.634,0.621,0.638
blis_parallel,cpu,16 4 4 1024 1024 3 3,0.936,0.967,0.931,0.944
blis_parallel,cpu,24 4 4 1024 1024 3 3,1.281,1.293,1.290,1.261
blis_parallel,cpu,32 4 4 1024 1024 3 3,1.599,1.588,1.589,1.617
blis_parallel,cpu,40 4 4 1024 1024 3 3,1.931,1.912,1.917,1.898
blis_parallel,cpu,48 4 4 1024 1024 3 3,2.248,2.254,2.252,2.233
blis_parallel,cpu,56 4 4 1024 1024 3 3,2.577,2.582,2.599,2.563
blis_parallel,cpu,64 4 4 1024 1024 3 3,2.913,2.971,2.985,2.896
blis_parallel,cpu,72 4 4 1024 1024 3 3,3.215,3.228,3.243,3.207
blis_parallel,cpu,80 4 4 1024 1024 3 3,3.552,3.540,3.559,3.538
direct_onednn,cpu,8 4 4 1024 1024 3 3,2.107,0.429,0.424,0.438
direct_onednn,cpu,16 4 4 1024 1024 3 3,0.679,0.711,0.694,0.708
direct_onednn,cpu,24 4 4 1024 1024 3 3,0.979,1.004,0.954,0.984
direct_onednn,cpu,32 4 4 1024 1024 3 3,1.233,1.202,1.233,1.234
direct_onednn,cpu,40 4 4 1024 1024 3 3,1.533,1.525,1.523,1.571
direct_onednn,cpu,48 4 4 1024 1024 3 3,1.785,1.798,1.785,1.789
direct_onednn,cpu,56 4 4 1024 1024 3 3,2.014,2.082,2.065,2.076
direct_onednn,cpu,64 4 4 1024 1024 3 3,2.356,2.355,2.332,2.342
direct_onednn,cpu,72 4 4 1024 1024 3 3,2.637,2.613,2.599,2.586
direct_onednn,cpu,80 4 4 1024 1024 3 3,2.903,2.919,2.855,2.882
gemm_onednn,cpu,8 4 4 1024 1024 3 3,0.544,0.457,0.466,0.469
gemm_onednn,cpu,16 4 4 1024 1024 3 3,0.737,0.762,0.744,0.841
gemm_onednn,cpu,24 4 4 1024 1024 3 3,1.066,1.061,1.037,1.054
gemm_onednn,cpu,32 4 4 1024 1024 3 3,1.354,1.343,1.376,1.369
gemm_onednn,cpu,40 4 4 1024 1024 3 3,1.647,1.632,1.634,1.650
gemm_onednn,cpu,48 4 4 1024 1024 3 3,1.929,1.921,2.000,1.952
gemm_onednn,cpu,56 4 4 1024 1024 3 3,2.267,2.209,2.246,2.224
gemm_onednn,cpu,64 4 4 1024 1024 3 3,2.523,2.484,2.588,2.525
gemm_onednn,cpu,72 4 4 1024 1024 3 3,2.849,2.766,2.824,2.837
gemm_onednn,cpu,80 4 4 1024 1024 3 3,3.111,3.152,3.096,3.133
direct_parallel,gpu,8 4 4 1024 1024 3 3,0.700,0.698,0.722,0.706
