
########################################################################
#      Date:           Wed Jun 16 14:13:59 PDT 2021
#    Job ID:           898811.v-qsvr-1.aidevcloud
#      User:           u74824
# Resources:           neednodes=1:gold6128:ppn=2,nodes=1:gold6128:ppn=2,walltime=01:00:00
########################################################################

executable,device,parameters,time1,time2,time3,time4
im2col,cpu,8 4 4 1024 1024 3 3,0.516,0.504,0.522,0.523
im2col,cpu,16 4 4 1024 1024 3 3,0.807,0.807,0.814,0.810
im2col,cpu,24 4 4 1024 1024 3 3,1.111,1.113,1.109,1.117
im2col,cpu,32 4 4 1024 1024 3 3,1.403,1.411,1.384,1.386
im2col,cpu,40 4 4 1024 1024 3 3,1.676,1.698,1.702,1.710
im2col,cpu,48 4 4 1024 1024 3 3,1.964,1.994,1.965,1.952
im2col,cpu,56 4 4 1024 1024 3 3,2.306,2.303,2.277,2.241
im2col,cpu,64 4 4 1024 1024 3 3,2.576,2.542,2.543,2.603
im2col,cpu,72 4 4 1024 1024 3 3,2.839,2.926,2.834,2.888
im2col,cpu,80 4 4 1024 1024 3 3,3.213,3.135,3.221,3.207
matmul,cpu,8 4 4 1024 1024 3 3,0.862,0.896,0.866,0.908
matmul,cpu,16 4 4 1024 1024 3 3,1.454,1.401,1.554,1.402
matmul,cpu,24 4 4 1024 1024 3 3,2.060,2.132,2.144,1.989
matmul,cpu,32 4 4 1024 1024 3 3,2.767,2.487,2.641,2.600
matmul,cpu,40 4 4 1024 1024 3 3,3.037,3.272,3.265,3.036
matmul,cpu,48 4 4 1024 1024 3 3,3.970,3.871,3.863,3.750
matmul,cpu,56 4 4 1024 1024 3 3,4.415,4.157,4.160,4.599
matmul,cpu,64 4 4 1024 1024 3 3,4.714,5.034,4.938,5.230
matmul,cpu,72 4 4 1024 1024 3 3,5.901,5.285,5.555,5.283
matmul,cpu,80 4 4 1024 1024 3 3,6.536,6.563,6.538,6.533
direct_sequential,cpu,8 4 4 1024 1024 3 3,3.120,2.013,2.012,2.010
direct_sequential,cpu,16 4 4 1024 1024 3 3,3.889,3.895,3.879,3.886
direct_sequential,cpu,24 4 4 1024 1024 3 3,5.770,5.765,5.773,5.760
direct_sequential,cpu,32 4 4 1024 1024 3 3,7.665,7.674,7.699,7.671
direct_sequential,cpu,40 4 4 1024 1024 3 3,9.597,9.602,9.607,9.602
direct_sequential,cpu,48 4 4 1024 1024 3 3,11.544,11.567,11.561,11.540
direct_sequential,cpu,56 4 4 1024 1024 3 3,13.525,13.538,13.526,13.548
direct_sequential,cpu,64 4 4 1024 1024 3 3,15.476,15.320,15.473,15.490
direct_sequential,cpu,72 4 4 1024 1024 3 3,17.234,17.223,17.203,17.215
direct_sequential,cpu,80 4 4 1024 1024 3 3,19.134,19.142,19.126,19.073
gemm_sequential,cpu,8 4 4 1024 1024 3 3,1.067,1.054,1.046,1.133
gemm_sequential,cpu,16 4 4 1024 1024 3 3,1.932,1.981,1.886,1.951
gemm_sequential,cpu,24 4 4 1024 1024 3 3,2.711,2.890,2.709,2.954
gemm_sequential,cpu,32 4 4 1024 1024 3 3,3.708,3.558,3.875,3.561
gemm_sequential,cpu,40 4 4 1024 1024 3 3,4.810,4.720,4.405,4.809
gemm_sequential,cpu,48 4 4 1024 1024 3 3,5.638,5.640,5.283,5.755
gemm_sequential,cpu,56 4 4 1024 1024 3 3,6.710,6.159,6.162,6.596
gemm_sequential,cpu,64 4 4 1024 1024 3 3,7.620,6.979,7.242,6.963
gemm_sequential,cpu,72 4 4 1024 1024 3 3,8.341,8.566,8.221,7.835
gemm_sequential,cpu,80 4 4 1024 1024 3 3,8.713,9.505,8.985,8.983
blis_sequential,cpu,8 4 4 1024 1024 3 3,2.368,2.421,2.373,2.411
blis_sequential,cpu,16 4 4 1024 1024 3 3,4.683,4.673,4.678,4.687
blis_sequential,cpu,24 4 4 1024 1024 3 3,6.998,6.965,6.969,6.968
