
########################################################################
#      Date:           Thu Jun 17 03:10:50 PDT 2021
#    Job ID:           899389.v-qsvr-1.aidevcloud
#      User:           u74824
# Resources:           neednodes=1:gold6128:ppn=2,nodes=1:gold6128:ppn=2,walltime=06:00:00
########################################################################

executable,device,parameters,time1,time2,time3,time4
im2col,cpu,8 4 4 64 64 3 3,4.142,0.149,0.147,0.147
im2col,cpu,8 4 4 128 128 3 3,0.143,0.149,0.150,0.149
im2col,cpu,8 4 4 256 256 3 3,0.165,0.160,0.161,0.156
im2col,cpu,8 4 4 512 512 3 3,0.239,0.232,0.223,0.228
im2col,cpu,8 4 4 1024 1024 3 3,0.519,0.521,0.510,0.518
im2col,cpu,8 4 4 2048 2048 3 3,1.798,1.811,1.799,1.810
im2col,cpu,8 4 4 4096 4096 3 3,6.999,7.000,6.968,6.907
matmul,cpu,8 4 4 64 64 3 3,0.137,0.133,0.144,0.141
matmul,cpu,8 4 4 128 128 3 3,0.149,0.154,0.145,0.154
matmul,cpu,8 4 4 256 256 3 3,0.175,0.174,0.171,0.175
matmul,cpu,8 4 4 512 512 3 3,0.315,0.303,0.293,0.307
matmul,cpu,8 4 4 1024 1024 3 3,0.873,0.871,0.847,0.847
matmul,cpu,8 4 4 2048 2048 3 3,3.637,3.735,3.728,3.649
matmul,cpu,8 4 4 4096 4096 3 3,15.881,15.896,15.732,15.826
direct_sequential,cpu,8 4 4 64 64 3 3,0.157,0.148,0.144,0.138
direct_sequential,cpu,8 4 4 128 128 3 3,0.161,0.169,0.169,0.160
direct_sequential,cpu,8 4 4 256 256 3 3,0.256,0.244,0.252,0.250
direct_sequential,cpu,8 4 4 512 512 3 3,0.604,0.600,0.605,0.601
direct_sequential,cpu,8 4 4 1024 1024 3 3,2.010,2.014,2.013,2.005
direct_sequential,cpu,8 4 4 2048 2048 3 3,7.700,7.700,7.698,7.701
direct_sequential,cpu,8 4 4 4096 4096 3 3,30.663,30.929,30.911,30.684
gemm_sequential,cpu,8 4 4 64 64 3 3,0.146,0.144,0.141,0.147
gemm_sequential,cpu,8 4 4 128 128 3 3,0.156,0.139,0.150,0.151
gemm_sequential,cpu,8 4 4 256 256 3 3,0.179,0.180,0.167,0.178
gemm_sequential,cpu,8 4 4 512 512 3 3,0.361,0.350,0.353,0.346
gemm_sequential,cpu,8 4 4 1024 1024 3 3,1.026,1.026,1.027,1.024
gemm_sequential,cpu,8 4 4 2048 2048 3 3,4.858,4.774,4.710,4.711
gemm_sequential,cpu,8 4 4 4096 4096 3 3,19.420,19.209,19.358,19.449
blis_sequential,cpu,8 4 4 64 64 3 3,0.146,0.152,0.150,0.152
blis_sequential,cpu,8 4 4 128 128 3 3,0.180,0.174,0.176,0.166
blis_sequential,cpu,8 4 4 256 256 3 3,0.283,0.274,0.253,0.296
blis_sequential,cpu,8 4 4 512 512 3 3,0.697,0.705,0.703,0.704
blis_sequential,cpu,8 4 4 1024 1024 3 3,2.420,2.418,2.403,2.372
blis_sequential,cpu,8 4 4 2048 2048 3 3,9.323,9.335,9.309,9.312
blis_sequential,cpu,8 4 4 4096 4096 3 3,37.083,37.268,37.593,36.905
direct_parallel,cpu,8 4 4 64 64 3 3,2.298,0.372,0.349,0.373
direct_parallel,cpu,8 4 4 128 128 3 3,0.368,0.351,0.366,0.349
direct_parallel,cpu,8 4 4 256 256 3 3,0.375,0.368,0.387,0.378
direct_parallel,cpu,8 4 4 512 512 3 3,0.442,0.445,0.429,0.431
direct_parallel,cpu,8 4 4 1024 1024 3 3,0.690,0.660,0.641,0.626
direct_parallel,cpu,8 4 4 2048 2048 3 3,1.493,1.487,1.509,1.534
direct_parallel,cpu,8 4 4 4096 4096 3 3,4.914,4.983,4.942,4.945
gemm_parallel,cpu,8 4 4 64 64 3 3,0.402,0.374,0.411,0.369
